organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Yasar University,yasar,https://ce.yasar.edu.tr/se-3304-yazilim-muhendisligine-giris/,SE 3304,Yazılım Mühendisliğine Giriş,"Yazılım Mühendisliğine Giriş, Proje Başlatma, Analiz, Tasarım, Uygulama",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4312-hesaplama-kurami/,COMP 4312,Hesaplama Kuramı,"Giriş ve temel tanımlar, soyut otomatlar, sonlu durum makinelerinin kavramı; “Push-down” otomat, “Turing” makinesi, simgesel diller, bağlam bağımsız diller, otomat, diller ve dil bilgisi arasındaki ilişki, hesaplanabilirlik ve çözülebilirlik, bazı uygulamalar.",Dr. Ahmet Hasan Koltuksuz,AHMET HASAN KOLTUKSUZ,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4316-bilgisayar-mimarisi/,COMP 4316,Bilgisayar Mimarisi,"Yazmaç aktarımı, veriyolu, kontrol, komut kümesi mimarisi, birleştirici dili, bilgisayar aritmetiği, tek döngülü işlemci, çok döngülü işlemci, boru hatlı işlemci, girdi/çıktı, bellek düzeni, paralel işleme.",Dr. Mutlu Beyazıt,MUTLU BEYAZIT,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4318-dagitik-sistemler/,COMP 4318,Dağıtık Sistemler,"Bilgisayar ağları ve dağıtık sistemlerin temel konularına teori ve uygulamalar olarak giriş. Ağ katmanı, yönlendirme ve sıkışıklık denetimi. Transport katmanı. Uygulama katmanı. Güvenlik konuları.",Dr. Mehmet Ufuk Çağlayan,MEHMET UFUK ÇAĞLAYAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4320-endustride-bilgisayar-denetimi/,COMP 4320,Endüstride Bilgisayar Denetimi,"Bu ders kablosuz ve hareketli ağlardaki farklı standartları ve protokolleri, mimarileri, yönetim ve güvenlik gibi temel konuları içerir.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4322-bilgi-kurami/,COMP 4322,Bilgi Kuramı,"Termodinamiğin 2. Kanunu, entropy, Boltzmann-Gibbs entropisi. Plack düzeyi ve ölçütleri. Hesaplamanın termodinamiği. Shannon bilgi kuramı. Kara deliklere giriş, ve karadeliklerin termodinamiği. Bekestein entropisi ve sıırlamaları. Bilginin sınırları, holografik kuram. Bilginin kendisi.",Dr. Ahmet Koltuksuz,AHMET KOLTUKSUZ,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4355-bilgisayar-ag-guvenligi/,COMP 4355,Bilgisayar Ağ Güvenliği,"Bu ders kablosuz ve hareketli ağlardaki farklı standartları ve protokolleri, mimarileri, yönetim ve güvenlik gibi temel konuları içerir.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4360-goruntu-isleme/,COMP 4360,Görüntü İşleme,"Bu ders, sayısal görüntü işlemenin kapsamına giren intensite dönüşümü, mekansal ve frekans domaininde filitreleme, görüntü resterasyonu, morfolojik görüntü işleme ve görüntü ayrıştırma gibi konuları kapsar.",Dr. Arman Sarvan,ARMAN SARVAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4431-bilgisayar-grafikleri/,COMP 4431,Bilgisayar Grafikleri,Bilgisayar Grafiği ileri teknikleri. Gölgeleme. Deformasyon. Raytracing. Işınsallar. Kaplama. Hareket.,Dr. Gizem Kayar,GIZEM KAYAR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4432-gomulu-sistem-tasarimi/,COMP 4432,Gömülü Sistem Tasarımı,Öğrencilere gömülü sistemlerle ilgili temel konuları verirken ilgili kaynakları nasıl bulabileceği konusunda yardımcı olur.,Dr. Ufuk Çağlayan,UFUK ÇAĞLAYAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
